"","Account","Month","Trx","SP","Calls","PDE","Emails","Clicks","Samples"
"1","A1B012",1,2991,1,1,9,29,13,12
"2","A1B012",2,10000,5,8,11,39,25,81
"3","A1B012",3,7896,3,21,12,40,28,212
"4","A1B012",4,6987,7,16,12,42,31,193
"5","A1B012",5,3502,6,1,10,34,18,22
"6","A1B012",6,3290,7,8,11,40,27,89
"7","A1B012",7,7822,10,12,12,42,31,153
"8","A1B012",8,10000,7,1,10,34,18,22
"9","A1B012",9,5853,8,1,10,35,19,24
"10","A1B012",10,6619,8,1,10,35,19,24
"11","A1B012",11,4524,7,8,11,40,27,89
"12","A1B012",12,5541,7,12,12,41,29,140
"13","A2B012",1,3029,5,1,10,33,17,20
"14","A2B012",2,6655,8,1,10,35,19,24
"15","A2B012",3,2852,4,1,10,33,17,20
"16","A2B012",4,5513,5,1,10,33,17,20
"17","A2B012",5,2727,8,16,12,42,31,193
"18","A2B012",6,4773,4,1,10,33,17,20
"19","A2B012",7,5005,5,18,12,41,29,195
"20","A2B012",8,7564,3,12,11,39,25,108
"21","A2B012",9,3979,10,1,11,35,20,29
"22","A2B012",10,3142,10,1,11,35,20,29
"23","A2B012",11,7717,8,1,10,35,19,24
"24","A2B012",12,5116,3,1,10,32,16,19
"25","A3B012",1,660,0,1,9,23,8,6
"26","A3B012",2,660,0,1,9,23,8,6
"27","A3B012",3,660,0,1,9,23,8,6
"28","A3B012",4,660,0,1,9,23,8,6
"29","A3B012",5,660,0,1,9,23,8,6
"30","A3B012",6,660,0,1,9,23,8,6
"31","A3B012",7,660,1,1,9,29,13,12
"32","A3B012",8,660,1,1,9,29,13,12
"33","A3B012",9,660,0,1,9,23,8,6
"34","A3B012",10,660,1,1,9,29,13,12
"35","A3B012",11,660,0,1,9,23,8,6
"36","A3B012",12,660,0,1,9,23,8,6
"37","A4B012",1,660,0,1,9,23,8,6
"38","A4B012",2,660,0,1,9,23,8,6
"39","A4B012",3,660,0,1,9,23,8,6
"40","A4B012",4,660,0,1,9,23,8,6
"41","A4B012",5,660,0,1,9,23,8,6
"42","A4B012",6,660,0,1,9,23,8,6
"43","A4B012",7,660,0,1,9,23,8,6
"44","A4B012",8,660,0,1,9,23,8,6
"45","A4B012",9,660,0,1,9,23,8,6
"46","A4B012",10,660,0,1,9,23,8,6
"47","A4B012",11,660,1,1,9,29,13,12
"48","A4B012",12,660,0,1,9,23,8,6
"49","A5B012",1,660,1,1,9,29,13,12
"50","A5B012",2,660,0,1,9,23,8,6
"51","A5B012",3,660,1,1,9,29,13,12
"52","A5B012",4,660,1,1,9,29,13,12
"53","A5B012",5,660,1,1,9,29,13,12
"54","A5B012",6,660,0,1,9,23,8,6
"55","A5B012",7,660,2,1,10,31,15,17
"56","A5B012",8,660,3,1,10,32,16,19
"57","A5B012",9,660,0,1,9,23,8,6
"58","A5B012",10,660,3,1,10,32,16,19
"59","A5B012",11,660,0,1,9,23,8,6
"60","A5B012",12,660,2,1,10,31,15,17
"61","A6B012",1,1455,2,1,10,31,15,17
"62","A6B012",2,660,2,1,10,31,15,17
"63","A6B012",3,6822,1,1,9,29,13,12
"64","A6B012",4,5116,4,1,10,33,17,20
"65","A6B012",5,660,2,1,10,31,15,17
"66","A6B012",6,5983,1,1,9,29,13,12
"67","A6B012",7,3636,4,1,10,33,17,20
"68","A6B012",8,5836,2,1,10,31,15,17
"69","A6B012",9,1854,1,1,9,29,13,12
"70","A6B012",10,8335,2,1,10,31,15,17
"71","A6B012",11,6728,1,1,9,29,13,12
"72","A6B012",12,4733,1,1,9,29,13,12
"73","A7B012",1,660,0,1,9,23,8,6
"74","A7B012",2,660,0,1,9,23,8,6
"75","A7B012",3,660,0,1,9,23,8,6
"76","A7B012",4,660,0,1,9,23,8,6
"77","A7B012",5,660,0,1,9,23,8,6
"78","A7B012",6,660,0,1,9,23,8,6
"79","A7B012",7,660,0,1,9,23,8,6
"80","A7B012",8,660,0,1,9,23,8,6
"81","A7B012",9,660,0,1,9,23,8,6
"82","A7B012",10,660,1,8,10,35,19,51
"83","A7B012",11,660,0,1,9,23,8,6
"84","A7B012",12,660,0,1,9,23,8,6
"85","A8B012",1,8035,2,16,12,39,26,150
"86","A8B012",2,5110,3,1,10,32,16,19
"87","A8B012",3,5290,2,1,10,31,15,17
"88","A8B012",4,6529,3,1,10,32,16,19
"89","A8B012",5,6772,3,12,11,39,25,108
"90","A8B012",6,5140,1,1,9,29,13,12
"91","A8B012",7,6445,1,1,9,29,13,12
"92","A8B012",8,7988,1,1,9,29,13,12
"93","A8B012",9,3394,3,1,10,32,16,19
"94","A8B012",10,6457,3,14,12,39,26,134
"95","A8B012",11,4223,1,1,9,29,13,12
"96","A8B012",12,5935,1,14,11,36,21,95
"97","A9B012",1,1107,3,1,10,32,16,19
"98","A9B012",2,3278,5,16,12,41,29,176
"99","A9B012",3,660,4,12,11,39,25,108
"100","A9B012",4,660,2,1,10,31,15,17
"101","A9B012",5,1236,3,1,10,32,16,19
"102","A9B012",6,4731,3,1,10,32,16,19
"103","A9B012",7,2043,4,1,10,33,17,20
"104","A9B012",8,660,4,1,10,33,17,20
"105","A9B012",9,3464,3,1,10,32,16,19
"106","A9B012",10,3868,6,12,12,41,29,140
"107","A9B012",11,1124,3,12,11,39,25,108
"108","A9B012",12,5091,2,1,10,31,15,17
"109","A10B012",1,660,0,1,9,23,8,6
"110","A10B012",2,660,1,1,9,29,13,12
"111","A10B012",3,660,0,1,9,23,8,6
"112","A10B012",4,660,0,1,9,23,8,6
"113","A10B012",5,660,1,1,9,29,13,12
"114","A10B012",6,660,3,1,10,32,16,19
"115","A10B012",7,660,1,1,9,29,13,12
"116","A10B012",8,660,0,1,9,23,8,6
"117","A10B012",9,660,1,1,9,29,13,12
"118","A10B012",10,660,1,1,9,29,13,12
"119","A10B012",11,660,1,1,9,29,13,12
"120","A10B012",12,660,1,1,9,29,13,12
"121","A11B012",1,2787,0,1,9,23,8,6
"122","A11B012",2,660,1,1,9,29,13,12
"123","A11B012",3,360,1,1,9,29,13,12
"124","A11B012",4,1390,1,1,9,29,13,12
"125","A11B012",5,2254,0,1,9,23,8,6
"126","A11B012",6,1137,0,1,9,23,8,6
"127","A11B012",7,311,0,1,9,23,8,6
"128","A11B012",8,2781,1,1,9,29,13,12
"129","A11B012",9,432,0,1,9,23,8,6
"130","A11B012",10,864,1,1,9,29,13,12
"131","A11B012",11,1702,0,1,9,23,8,6
"132","A11B012",12,847,0,1,9,23,8,6
"133","A12B012",1,660,0,1,9,23,8,6
"134","A12B012",2,660,0,1,9,23,8,6
"135","A12B012",3,660,1,1,9,29,13,12
"136","A12B012",4,660,1,1,9,29,13,12
"137","A12B012",5,660,0,1,9,23,8,6
"138","A12B012",6,660,0,1,9,23,8,6
"139","A12B012",7,660,0,1,9,23,8,6
"140","A12B012",8,660,0,1,9,23,8,6
"141","A12B012",9,660,0,1,9,23,8,6
"142","A12B012",10,660,2,1,10,31,15,17
"143","A12B012",11,660,0,1,9,23,8,6
"144","A12B012",12,660,3,1,10,32,16,19
"145","A13B012",1,660,1,1,9,29,13,12
"146","A13B012",2,660,1,1,9,29,13,12
"147","A13B012",3,660,0,1,9,23,8,6
"148","A13B012",4,660,3,1,10,32,16,19
"149","A13B012",5,660,3,1,10,32,16,19
"150","A13B012",6,660,1,1,9,29,13,12
"151","A13B012",7,660,0,1,9,23,8,6
"152","A13B012",8,660,3,1,10,32,16,19
"153","A13B012",9,660,3,1,10,32,16,19
"154","A13B012",10,660,0,1,9,23,8,6
"155","A13B012",11,660,3,1,10,32,16,19
"156","A13B012",12,660,1,1,9,29,13,12
"157","A14B012",1,660,0,1,9,23,8,6
"158","A14B012",2,660,1,1,9,29,13,12
"159","A14B012",3,660,0,1,9,23,8,6
"160","A14B012",4,660,1,1,9,29,13,12
"161","A14B012",5,660,1,1,9,29,13,12
"162","A14B012",6,660,0,1,9,23,8,6
"163","A14B012",7,660,0,1,9,23,8,6
"164","A14B012",8,660,3,1,10,32,16,19
"165","A14B012",9,660,0,1,9,23,8,6
"166","A14B012",10,660,0,1,9,23,8,6
"167","A14B012",11,660,0,1,9,23,8,6
"168","A14B012",12,660,0,1,9,23,8,6
"169","A15B012",1,2907,0,1,9,23,8,6
"170","A15B012",2,2771,0,1,9,23,8,6
"171","A15B012",3,371,0,1,9,23,8,6
"172","A15B012",4,3855,0,1,9,23,8,6
"173","A15B012",5,1342,0,1,9,23,8,6
"174","A15B012",6,3094,0,1,9,23,8,6
"175","A15B012",7,2049,0,1,9,23,8,6
"176","A15B012",8,2371,0,1,9,23,8,6
"177","A15B012",9,2622,0,1,9,23,8,6
"178","A15B012",10,971,0,1,9,23,8,6
"179","A15B012",11,2201,0,1,9,23,8,6
"180","A15B012",12,3249,0,1,9,23,8,6
"181","A16B012",1,660,2,1,10,31,15,17
"182","A16B012",2,660,2,1,10,31,15,17
"183","A16B012",3,660,4,1,10,33,17,20
"184","A16B012",4,660,2,16,12,39,26,150
"185","A16B012",5,660,3,1,10,32,16,19
"186","A16B012",6,660,1,1,9,29,13,12
"187","A16B012",7,660,2,1,10,31,15,17
